Date;Open;Max;Min;Close
24.09.2018;114340;114370;114340;114360
24.09.2018;114340;114380;114330;114380
24.09.2018;114390;114390;114310;114340
24.09.2018;114330;114350;114280;114300
24.09.2018;114310;114340;114280;114310
24.09.2018;114310;114360;114300;114340
24.09.2018;114340;114490;114330;114490
24.09.2018;114490;114560;114420;114440
24.09.2018;114450;114450;114400;114410
24.09.2018;114410;114430;114390;114430
24.09.2018;114410;114420;114370;114380
24.09.2018;114380;114410;114380;114380
24.09.2018;114390;114410;114380;114400
24.09.2018;114400;114430;114390;114400
24.09.2018;114400;114420;114380;114400
24.09.2018;114400;114400;114350;114370
24.09.2018;114360;114380;114320;114350
24.09.2018;114340;114360;114270;114330
24.09.2018;114310;114350;114300;114340
24.09.2018;114340;114390;114330;114380
24.09.2018;114380;114400;114340;114360
24.09.2018;114360;114370;114270;114320
24.09.2018;114330;114330;114270;114270
24.09.2018;114270;114320;114270;114310
24.09.2018;114290;114320;114280;114300
24.09.2018;114290;114370;114290;114340
24.09.2018;114340;114410;114310;114310
24.09.2018;114310;114340;114310;114320
24.09.2018;114340;114360;114320;114340
24.09.2018;114340;114370;114320;114320
24.09.2018;114310;114340;114310;114320
24.09.2018;114320;114330;114270;114280
24.09.2018;114270;114290;114250;114250
24.09.2018;114250;114300;114250;114290
24.09.2018;114280;114280;114250;114260
24.09.2018;114250;114290;114250;114290
24.09.2018;114290;114310;114210;114230
24.09.2018;114240;114290;114230;114240
24.09.2018;114240;114270;114230;114230
24.09.2018;114240;114240;114210;114220
24.09.2018;114230;114240;114200;114230
24.09.2018;114230;114240;114150;114240
24.09.2018;114230;114240;114200;114220
24.09.2018;114220;114220;114180;114180
24.09.2018;114200;114240;114190;114230
24.09.2018;114220;114240;114180;114180
24.09.2018;114190;114200;114170;114200
24.09.2018;114190;114190;114140;114160
24.09.2018;114160;114170;114110;114140
24.09.2018;114150;114150;114110;114110
24.09.2018;114110;114150;114100;114120
24.09.2018;114120;114130;114060;114120
24.09.2018;114130;114130;114070;114120
24.09.2018;114100;114130;114080;114090
24.09.2018;114080;114120;114050;114120
24.09.2018;114110;114230;114100;114220
24.09.2018;114200;114230;114180;114190
24.09.2018;114180;114230;114170;114210
24.09.2018;114200;114220;114200;114210
24.09.2018;114220;114230;114200;114210
24.09.2018;114210;114230;114210;114220
24.09.2018;114220;114240;114210;114210
24.09.2018;114220;114240;114210;114240
24.09.2018;114230;114240;114210;114220
24.09.2018;114230;114240;114200;114200
24.09.2018;114210;114250;114210;114240
24.09.2018;114240;114280;114240;114250
24.09.2018;114240;114280;114240;114250
24.09.2018;114250;114270;114240;114240
24.09.2018;114240;114320;114240;114300
24.09.2018;114310;114350;114300;114330
24.09.2018;114340;114360;114290;114300
24.09.2018;114310;114340;114300;114330
24.09.2018;114320;114380;114310;114380
24.09.2018;114380;114390;114340;114340
24.09.2018;114340;114380;114340;114360
24.09.2018;114370;114380;114320;114330
24.09.2018;114330;114330;114310;114310
24.09.2018;114310;114330;114310;114330
24.09.2018;114330;114340;114300;114320
24.09.2018;114300;114320;114300;114310
24.09.2018;114320;114340;114280;114310
24.09.2018;114310;114330;114300;114300
24.09.2018;114300;114340;114300;114330
24.09.2018;114330;114340;114300;114310
24.09.2018;114300;114350;114290;114340
24.09.2018;114350;114350;114320;114340
24.09.2018;114340;114360;114340;114350
24.09.2018;114350;114390;114330;114380
24.09.2018;114380;114410;114380;114380
24.09.2018;114390;114450;114390;114440
24.09.2018;114450;114500;114430;114460
24.09.2018;114460;114540;114460;114460
24.09.2018;114460;114490;114440;114440
24.09.2018;114440;114460;114430;114440
24.09.2018;114440;114460;114400;114400
24.09.2018;114400;114420;114400;114400
24.09.2018;114390;114440;114380;114440
24.09.2018;114420;114450;114380;114410
24.09.2018;114410;114480;114400;114450
24.09.2018;114450;114470;114410;114430
24.09.2018;114440;114460;114400;114450
24.09.2018;114460;114500;114430;114470
24.09.2018;114470;114500;114460;114470
24.09.2018;114470;114500;114450;114490
24.09.2018;114480;114490;114440;114450
24.09.2018;114450;114470;114440;114450
24.09.2018;114470;114480;114430;114440
24.09.2018;114440;114450;114410;114440
24.09.2018;114440;114470;114430;114470
24.09.2018;114470;114510;114470;114500
